vinho,chave_estrangeira,origem,tipo,estilo
"Chapel Down Bacchus 2021/22, Kent",Bacchus,England,White,Aromatic & Floral
Louis Violland Mercurey Blanc 2018/19,Chardonnay,France,White,Ripe & Rounded
"Domaine Aimé Arnoux Viognier 2021/22, Rhone Valley",Viognier,France,White,Ripe & Rounded
"Winemaker Series Godello 2020/22, Monterrei",Godello,Spain,White,Fresh & Elegant
"Domaine de Villemajou Rosé 2022, Corbières",Carignan,France,Rosé,Ripe & Fruity
"Errazuriz Max Reserva Cabernet 2019/21, Aconcagua Valley",Cabernet Sauvignon,Chile,Red,Savoury & Full Bodied
"Yalumba Y Series Viognier 2021/22, Australia",Viognier,Australia,White,Aromatic & Floral
"Château Coufran Cru Bourgeois Supérieur 2007, Haut-Médoc",Cabernet Sauvignon,France,Red,Savoury & Full Bodied
Langlois-Chateau 'Classique' Crémant de Loire Brut Rosé,Cabernet Franc,France,Rosé,Crisp & Fruity
Moillard-Thomas Bourgogne Aligoté 2022,Aligoté,France,White,Light & Elegant
"Three Choirs Stonebrook 2020/21, Gloucestershire",Siegerrebe,England,White,Smooth & Light
"Clos de Luz 'Arao' Carménère Red Blend 2018/19, Chile",Carménère,Chile,Red,Rich & Juicy
"Stag's Leap 'Hands of Time' Chardonnay 2019/20, Napa Valley",Chardonnay,USA,White,Rich & Toasty
"Nyetimber 'Cuvée Chérie' Demi-Sec, Sussex",Chardonnay,England,White,Crisp & Fruity
Piccini Brunello di Montalcino DOCG 2018,Sangiovese,Italy,Red,Savoury & Full Bodied
Cave de Lugny 'Les Pierres Blanches' Mâcon-Villages 2021/22,Chardonnay,France,White,Ripe & Rounded
"Graham Beck Brut Rosé, South Africa",Chardonnay,South Africa,Rosé,Crisp & Fruity
"Tutiac 'Lion & The Lily' Rosé 2021/22, Bordeaux",Merlot,France,Rosé,Ripe & Fruity
"Vieux Château Landon 2012, Médoc",Cabernet Sauvignon,France,Red,Savoury & Full Bodied
"Vergelegen ‘Mill Race’ Cabernet Sauvignon-Merlot 2019, Stellenbosch",Cabernet Sauvignon,South Africa,Red,Savoury & Full Bodied
"Château de Pennautier Rosé 2021/22, Cabardès",Merlot,France,Rosé,Delicate & Dry
Langlois-Chateau 'L'Extra par Langlois' Brut Rosé Crémant de Loire,Cabernet Franc,France,Rosé,Crisp & Fruity
"Rupert & Rothschild 'Classique' 2019/20, South Africa",Merlot,South Africa,Red,Savoury & Full Bodied
Devaux 'Oeil de Perdrix' Brut Rosé Champagne,Chardonnay,France,Rosé,Crisp & Fruity
"Château de Sainte Gemme 2017, Haut-Médoc",Cabernet Sauvignon,France,Red,Savoury & Full Bodied
"Pasqua 'PassioneSentimento' Passimento Rosso 2020/21, Veneto",Merlot,Italy,Red,Rich & Juicy
Bouvet Ladubay 'Saphir' Saumur Brut 2020/21,Chardonnay,France,White,Crisp & Fruity
Roberto Sarotto 'Campo dell'Olio' Gavi di Gavi DOCG 2021/22,Cortese,Italy,White,Aromatic & Floral
"Honey Drop Chardonnay 2022, South Africa",Chardonnay,South Africa,White,Rich & Toasty
"Luis Felipe Edwards Gran Reserva Merlot 2020/21, Colchagua Valley",Merlot,Chile,Red,Smooth & Mellow
"Luis Felipe Edwards Gran Reserva Chardonnay 2021/22, Casablanca Valley",Chardonnay,Chile,White,Rich & Toasty
Lanson 'Le Rosé' Brut Champagne,Chardonnay,France,Rosé,Crisp & Fruity
"Domaine des Tourelles Cuvée Pierre Brun 2019/20, Lebanon",Cabernet Sauvignon,Lebanon,Red,Savoury & Full Bodied
Cave de Viré Viré-Clessé 2020/21,Chardonnay,France,White,Ripe & Rounded
"Luis Felipe Edwards 'Signature Series' Viognier Reserva 2022/23, Rapel Valley",Viognier,Chile,White,Ripe & Rounded
"Tenuta dell'Ornellaia ‘Le Volte’ 2020/21, Tuscany",Cabernet Sauvignon,Italy,Red,Savoury & Full Bodied
"Chronic Cellars 'Sir Real' Cabernet Sauvignon 2020/21, Paso Robles",Cabernet Sauvignon,USA,Red,Savoury & Full Bodied
Robertson Winery 'Winemakers Selection' Chardonnay 2022,Chardonnay,South Africa,White,Ripe & Rounded
"Domaine Begude 'L'Etoile' Organic Chardonnay 2020/21, Limoux",Chardonnay,France,White,Rich & Toasty
"Villiera Wines Merlot 2020, Stellenbosch",Merlot,South Africa,Red,Smooth & Mellow
"Jam Shed Chardonnay 2021/22, Australia",Chardonnay,Australia,White,Rich & Toasty
"Château de Pennautier 'Marquis de Pennautier' Chardonnay-Viognier 2021/22, Pays d'Oc",Chardonnay,France,White,Ripe & Rounded
"MontGras ‘Day One’ Chardonnay 2021/22, Leyda Valley",Chardonnay,Chile,White,Fresh & Elegant
"Graham Beck Blanc de Blancs 2017/18, South Africa",Chardonnay,South Africa,White,Rich & Toasty
"Edna Valley Chardonnay 2019/20, Central Coast",Chardonnay,USA,White,Rich & Toasty
"Paul Jaboulet Aîné Viognier 2021/22, France",Viognier,France,White,Aromatic & Floral
Domaine Louis Moreau Petit Chablis 2021/22,Chardonnay,France,White,Fresh & Elegant
Pol Roger 2013/15 Vintage Champagne,Chardonnay,France,White,Rich & Toasty
Château Grand Faurie La Rose Saint-Émilion Grand Cru 2018/19,Merlot,France,Red,Savoury & Full Bodied
"Selborne Rosé Brut, Hampshire",Chardonnay,England,Rosé,Crisp & Fruity
Caves des Vignerons de Buxy 'Vieilles Vignes' Montagny 2021/22,Chardonnay,France,White,Ripe & Rounded
"Thymiopoulos Xinomavro 2019/20, Greece",Xinomavro,Greece,Red,Savoury & Full Bodied
"Weingut Norbert Bauer ‘Cellar 99’ Gemischter Satz 2022, Vienna",Chardonnay,Austria,White,Fresh & Elegant
Domaine de la Croix Salain Organic Mâcon-Villages 2021,Chardonnay,France,White,Fresh & Elegant
Famille Brocard ‘Belle Margote’ Bourgogne Chardonnay 2022,Chardonnay,France,White,Fresh & Elegant
"Kintonis Winery Agiorgitiko 2021, Peloponnese",Agiorgitiko,Greece,Red,Savoury & Full Bodied
"Las Veletas ‘Almaule’ País 2021, Maule Valley",Pais,Chile,Red,Light & Elegant
Pommery 'Cuvée Louise' 2005 Vintage Champagne,Chardonnay,France,White,Rich & Toasty
Canard-Duchêne Brut Champagne,Chardonnay,France,White,Rich & Toasty
"Château Batailley 2016/17, Pauillac",Cabernet Sauvignon,France,Red,Savoury & Full Bodied
"Bread & Butter Reserve Cabernet Sauvignon 2019/20, Napa Valley",Cabernet Sauvignon,USA,Red,Bold & Spicy
"Rivera TerrAnima 2022, Puglia",Chardonnay,Italy,White,Aromatic & Floral
Casal Farneto ‘GranCasale’ Verdicchio 2019,Verdicchio,Italy,White,Fresh & Elegant
"Catena Zapata 'Catena Alta' Chardonnay 2020/21, Mendoza",Chardonnay,Argentina,White,Rich & Toasty
"Surani 'Pietrariccia' Fiano 2021/22, Puglia",Fiano,Italy,White,Crisp & Zesty
"Santa Rita 'Medalla Real' Carménère 2019/21, Colchagua Valley",Carménère,Chile,Red,Bold & Spicy
Chandon Garden Spritz,Chardonnay,Argentina,,Fresh & Elegant
"Château Rauzan-Ségla 'Ségla' 2014/16, Margaux",Cabernet Sauvignon,France,Red,Savoury & Full Bodied
Masi 'Costasera' Amarone della Valpolicella Classico DOCG 2017/18,Rondinella,Italy,Red,Rich & Juicy
"Pasqua 'Villa Borghetti' Chardonnay 2020/21, Veneto",Chardonnay,Italy,White,Ripe & Rounded
Maison Antech 'Mademoiselle Marguerite' Blanquette de Limoux Brut,Mauzac,France,White,Crisp & Fruity
Chanoine Frères ‘Réserve Privée’ Brut Rosé Champagne,Chardonnay,France,Rosé,
Ayala 'Le Blanc de Blancs' Champagne 2015/16,Chardonnay,France,White,Rich & Toasty
"Duckhorn 'Decoy' Merlot 2019/21, Sonoma County",Merlot,USA,Red,Smooth & Mellow
Moët & Chandon 'Grand Vintage' 2013/15 Champagne,Chardonnay,France,White,Rich & Toasty
"Boekenhoutskloof Cabernet Sauvignon 2017/20, Stellenbosch",Cabernet Sauvignon,South Africa,Red,Savoury & Full Bodied
Ciabot Berton Barolo DOCG 2017/18,Nebbiolo,Italy,Red,Light & Elegant
Pommery 'Brut Rosé Royal’ Champagne,Chardonnay,France,Rosé,Crisp & Fruity
"Rupert & Rothschild Baron Edmond 2017/18, Western Cape",Merlot,South Africa,Red,Savoury & Full Bodied
Noughty Organic Sparkling Chardonnay 0%,Chardonnay,Germany,White,Light & Refreshing
"Nyetimber 'Classic Cuvée' Brut Half Bottle, Sussex",Chardonnay,England,White,Rich & Toasty
"Nyetimber 'Classic Cuvée' Brut Magnum, Sussex",Chardonnay,England,White,Rich & Toasty
Domaine Trouillet ‘Aux Chailloux’ Pouilly-Fuissé Premier Cru 2020,Chardonnay,France,White,Ripe & Rounded
Ruinart 'Second Skin' Blanc de Blancs Champagne,Chardonnay,France,White,Rich & Toasty
Bollinger Special Cuvée Champagne Half Bottle,Chardonnay,France,White,Rich & Toasty
"Château Caronne Ste-Gemme 2016/18, Haut-Médoc",Cabernet Sauvignon,France,Red,Savoury & Full Bodied
"Managers' Choice: VIK 'A' Cabernet Sauvignon 2020/21, Cachapoal Valley",Cabernet Sauvignon,Chile,Red,Bold & Spicy
Definition Chianti Classico DOCG 2019/20,Sangiovese,Italy,Red,Savoury & Full Bodied
Château de La Tour de l'Ange Saint-Véran 2021/22,Chardonnay,France,White,Fresh & Elegant
"Château Tour Bayard 2019/20, Montagne-Saint-Émilion",Merlot,France,Red,Savoury & Full Bodied
"Cecchi ‘Governo All’uso Toscano’ 2020/21, Chianti DOCG",Sangiovese,Italy,Red,Rich & Juicy
Castello Banfi Rosso di Montalcino DOC 2019/20,Sangiovese,Italy,Red,Smooth & Mellow
"Domodo Negroamaro 2021/22, Puglia",Negroamaro,Italy,Red,Bold & Spicy
"Vasse Felix 'Filius' Cabernet-Merlot 2020/21, Margaret River",Cabernet Sauvignon,Australia,Red,Savoury & Full Bodied
"Naudin Père et Fils Chardonnay 2021/22, France",Chardonnay,France,White,Fresh & Elegant
Selvapiana Chianti Rufina Riserva DOCG 2018/20,Sangiovese,Italy,Red,Smooth & Mellow
Domaine de Villemajou Organic Corbières Boutenac Rouge 2020/21,Carignan,France,Red,Bold & Spicy
"Petaluma ‘White Label’ Cabernet Sauvignon 2017/19, Coonawarra",Cabernet Sauvignon,Australia,Red,Savoury & Full Bodied
"LB7 Red 2019/20 Boxed Wine 2.25L, Lisbon",Castelão,Portugal,Red,Rich & Juicy
"Kanonkop 'Kadette' Pinotage 2019/20, Stellenbosch",Pinotage,South Africa,Red,Savoury & Full Bodied
"Definition Chardonnay 2021/22, Limoux",Chardonnay,France,White,Rich & Toasty
"Jim Barry 'Cover Drive' Cabernet Sauvignon 2019/20, Australia",Cabernet Sauvignon,Australia,Red,Savoury & Full Bodied
"Château Grimont 'Cuvée Prestige' 2017/18, Cadillac Côtes de Bordeaux",Merlot,France,Red,Savoury & Full Bodied
Definition Barolo DOCG 2017/18,Nebbiolo,Italy,Red,Light & Elegant
"Marqués de Riscal Verdejo 2021/22, Rueda",Verdejo,Spain,White,Crisp & Zesty
"Robert Oatley 'Signature Series' Chardonnay 2021/22, Margaret River",Chardonnay,Australia,White,Rich & Toasty
"Santa Rita '120' Merlot 2021/22, Central Valley",Merlot,Chile,Red,Smooth & Mellow
Pavillon La Tourelle Bordeaux Supérieur 2019,Merlot,France,Red,Savoury & Full Bodied
"Creation Chardonnay 2021/22, Walker Bay",Chardonnay,South Africa,White,Ripe & Rounded
"Santa Rita '120' Carménère, Central Valley",Carménère,Chile,Red,Smooth & Mellow
Château Bel Air Bergerac Rouge 2020,Cabernet Sauvignon,France,Red,Smooth & Mellow
"Emiliana 'Elemental' Organic Gran Reserva Viognier 2021/22, Casablanca Valley",Viognier,Chile,White,Ripe & Rounded
"Thymiopoulos ‘White’ Xinomavro-Malagousia 2021, Greece",Xinomavro,Greece,White,Aromatic & Floral
Lulu 'l'Alouette Organic Chinon 2020/21,Cabernet Franc,France,Red,Light & Elegant
"Château Livran 2014, Médoc",Cabernet Sauvignon,France,Red,Savoury & Full Bodied
"Viña Albali Cabernet Tempranillo 0.5% 2021/22, Spain",Cabernet Sauvignon,Spain,Red,Smooth & Mellow
"Domaines Barons de Rothschild Lafite 'Réserve Spéciale' 2019/20, Médoc",Cabernet Sauvignon,France,Red,Savoury & Full Bodied
Taylor's 'Quinta de Vargellas' 2013/15 Port,Tinta Barroca,Portugal,Red,
"Château Meyney 'La Chapelle de Meyney' 2016/17, Saint-Estèphe",Merlot,France,Red,Savoury & Full Bodied
Parcel Series Saint-Estèphe 2020,Cabernet Sauvignon,France,Red,Savoury & Full Bodied
"Two Hands 'Sexy Beast' Cabernet Sauvignon 2021/22, McLaren Vale",Cabernet Sauvignon,Australia,Red,Soft & Fruity
Veuve Clicquot Demi-Sec Champagne,Chardonnay,France,White,Crisp & Fruity
"Penfolds 'Max's' Chardonnay 2019/22, Adelaide Hills",Chardonnay,Australia,White,Rich & Toasty
Parcel Series Pauillac 2019,Cabernet Sauvignon,France,Red,
"Château Fourcas Dupré 2013, Listrac-Médoc",Merlot,France,Red,Savoury & Full Bodied
"Château Tour Massac 2013/14, Margaux",Cabernet Sauvignon,France,Red,Savoury & Full Bodied
Dom Perignon Brut Vintage Champagne,Chardonnay,France,White,Rich & Toasty
"Kanonkop 'Kadette' Pinotage Rosé 2022/23, Stellenbosch",Pinotage,South Africa,Rosé,Delicate & Dry
"Château Tour Haut-Caussan 2014/17, Médoc",Cabernet Sauvignon,France,Red,Savoury & Full Bodied
Rijckaert F. Rouve 'Haute Cuvée' Viré-Clessé 2020/21,Chardonnay,France,White,Ripe & Rounded
"Abbotts & Delaunay, Domaine de la Métairie d'Alon 'Le Village' Organic Chardonnay 2022, Languedoc",Chardonnay,France,White,Rich & Toasty
"Definition Claret 2018/19, Medoc",Cabernet Franc,France,Red,Savoury & Full Bodied
"Château Le Boscq 2013, Saint-Estèphe",Merlot,France,Red,Savoury & Full Bodied
"Vieux Remparts 2019/20, Lussac St-Émilion",Cabernet Franc,France,Red,Savoury & Full Bodied
"Acacia Road Chardonnay 2020/22, South Africa",Chardonnay,South Africa,White,Smooth & Light
"Acacia Road Merlot 2022/23, South Africa",Merlot,South Africa,Red,Soft & Fruity
"Alain Grignon Carignan 'Vieilles Vignes' 2022, Pays de l'Hérault",Carignan,France,Red,Rich & Juicy
Ammazza Montepulciano 2020/21,Montepulciano,Italy,Red,Soft & Fruity
"Anna's Way Viognier 2021/22, Marlborough",Viognier,New Zealand,White,Aromatic & Floral
"Araldica Barbera d'Asti DOCG 2019/20, Italy",Barbera,Italy,Red,Soft & Fruity
Araldica Barolo DOCG 2018/19,Nebbiolo,Italy,Red,Smooth & Mellow
Bodega Volcanes Carménère 2020/21,Carménère,Chile,Red,Bold & Spicy
Castello Banfi ‘Poggio alle Mura’ Brunello di Montalcino 2016/17,Sangiovese,Italy,Red,Savoury & Full Bodied
Castello di Meleto 'San Pietro' Chianti Classico DOCG 2020/21,Sangiovese,Italy,Red,Smooth & Mellow
"Catena Cabernet Sauvignon 2019/21, Mendoza",Cabernet Sauvignon,Argentina,Red,Bold & Spicy
Cave des Vignerons de Buxy 'Les Millières' Montagny Premier Cru 2021/22,Chardonnay,France,White,Ripe & Rounded
Domaine L. Chatelain Chablis Premier Cru 2020/21,Chardonnay,France,White,Fresh & Elegant
"Château Certan de May 2007, Pomerol",Merlot,France,Red,Savoury & Full Bodied
"Château de la Cour d’Argent 2014, Bordeaux Supérieur",Merlot,France,Red,Savoury & Full Bodied
"Château Grand-Puy-Lacoste 2013, Pauillac",Cabernet Sauvignon,France,Red,Savoury & Full Bodied
"Château Montrose 'La Dame de Montrose', Saint-Estèphe",Merlot,France,Red,Savoury & Full Bodied
"Château Pichon Baron 'Les Griffons de Pichon Baron' 2015, Pauillac",Cabernet Sauvignon,France,Red,Savoury & Full Bodied
"Cloudy Bay Chardonnay 2020/21, Marlborough",Chardonnay,New Zealand,White,Rich & Toasty
Collovray & Terrier 'Reserve' Saint Véran 2019/20,Chardonnay,France,White,Ripe & Rounded
"Cuvée de Richard Blanc 2021/22, France",Colombard,France,White,Crisp & Zesty
"De Bortoli Botrytis Semillon 2019 Half Bottle, Riverina ",Sémillon,Australia,White,
"Definition Mâcon-Villages 2021/22, Burgundy",Chardonnay,France,White,Ripe & Rounded
Definition Margaux 2018/19,Cabernet Sauvignon,France,Red,Savoury & Full Bodied
"Devil's Creek Merlot 2020, Hawke's Bay",Merlot,New Zealand,Red,Smooth & Mellow
"Dog Point Chardonnay 2018/19, Marlborough",Chardonnay,New Zealand,White,Ripe & Rounded
Dom Ruinart 2009/10 Champagne,Chardonnay,France,White,Rich & Toasty
"Domaine des Tourelles 'Grand Cuvée Pierre Brun' 2015/17, Lebanon",Cabernet Sauvignon,Lebanon,Red,Savoury & Full Bodied
Domaine Gérard Thomas Saint-Aubin Blanc 1er Cru 2020/21,Chardonnay,France,White,Rich & Toasty
Domaine L. Chatelain Chablis 2021/22,Chardonnay,France,White,Fresh & Elegant
Domaine Passy ‘Le Clou’ Petit Chablis 2021/22,Chardonnay,France,White,Fresh & Elegant
"Duckhorn Cabernet Sauvignon 2018/19, California",Cabernet Sauvignon,USA,Red,Savoury & Full Bodied
E. Guigal Condrieu 2020/21,Viognier,France,White,Ripe & Rounded
"Eddystone Point Chardonnay 2019/20, Tasmania",Chardonnay,Australia,White,Rich & Toasty
"Edouard Delaunay 'Septembre' Chardonnay 2019/20, Burgundy",Chardonnay,France,White,Ripe & Rounded
"Emiliana 'Elemental' Organic Gran Reserva Cabernet 2019/21, Maipo Valley",Cabernet Sauvignon,Chile,Red,Bold & Spicy
"Errazuriz Wild Ferment Chardonnay 2020/21, Casablanca Valley",Chardonnay,Chile,White,Rich & Toasty
"Guidalberto 2020/21 Tenuta San Guido, IGT Toscana",Cabernet Sauvignon,Italy,Red,Savoury & Full Bodied
"Hambledon Classic Cuvee, Hampshire",Chardonnay,England,White,Crisp & Fruity
"J. Moreau et Fils ‘Le Sans Bois' Chardonnay 2020/21, France",Chardonnay,France,White,Fresh & Elegant
Jean Bon Merlot IGP Pays D'Oc 2021/22,Merlot,France,Red,Smooth & Mellow
Jean-Louis Chavy Puligny-Montrachet 2019/20,Chardonnay,France,White,Rich & Toasty
Krug 2004/08 Champagne,Chardonnay,France,White,Rich & Toasty
Krug Grande Cuvée Champagne,Chardonnay,France,White,Rich & Toasty
La Buxynoise Bourgogne Côte Chalonnaise 2020/21,Chardonnay,France,White,Ripe & Rounded
La Serena Brunello di Montalcino 2016/17,Sangiovese,Italy,Red,Savoury & Full Bodied
"De Forville Langhe Nebbiolo 2020/21, Piedmont",Nebbiolo,Italy,Red,Light & Elegant
Laurent-Perrier 'Grand Siècle' Champagne,Chardonnay,France,White,Rich & Toasty
Louis Latour 'Grand Ardèche' Chardonnay 2020/21,Chardonnay,France,White,Rich & Toasty
"Maison Chanzy 'En Rosey' Rully Blanc 2020, Burgundy",Chardonnay,France,White,Ripe & Rounded
"Marcarini Barolo del Comune di La Morra 2017/18, Italy",Nebbiolo,Italy,Red,Light & Elegant
"Meerlust Rubicon 2018/20, South Africa",Cabernet Sauvignon,South Africa,Red,Savoury & Full Bodied
Domaine Prunier 'Les Clous' Meursault 2020,Chardonnay,France,White,Rich & Toasty
Montepulciano d'Abruzzo 2020/21 Masciarelli,Montepulciano,Italy,Red,Soft & Fruity
"Montes ‘Purple Angel’ Carménère 2019/20, Colchagua Valley",Carménère,Chile,Red,Bold & Spicy
"Morande Reserva One to One Pais 2019/21, Casablanca Valley",Pais,Chile,Red,Light & Elegant
"Ornellaia 'Le Serre Nuove dell'Ornellaia' 2019/20, Bolgheri",Merlot,Italy,Red,Savoury & Full Bodied
"Oyster Bay Chardonnay 2020/21, Marlborough",Chardonnay,New Zealand,White,Rich & Toasty
Pio Cesare Barbaresco 2017/18,Nebbiolo,Italy,Red,Light & Elegant
"Planeta Chardonnay 2020/21, Sicily",Chardonnay,Italy,White,Rich & Toasty
"Planeta 'Cometa' 2020/21, Sicily",Fiano,Italy,White,Aromatic & Floral
Pol Roger 'Sir Winston Churchill' 2013/15 Vintage Champagne,Chardonnay,France,White,Rich & Toasty
Puligny-Montrachet 2019/20 Doudet Naudin,Chardonnay,France,White,Rich & Toasty
"Rijckaert F. Rouve Saint Véran 'Haute Cuvée' 2020/21, Burgundy",Chardonnay,France,White,Ripe & Rounded
"Robert Oatley 'Signature Series' Cabernet Sauvignon 2018/19, Margaret River",Cabernet Sauvignon,Australia,Red,Savoury & Full Bodied
Roberto Sarotto Barbaresco Riserva 'Currà' 2016/17,Nebbiolo,Italy,Red,Light & Elegant
"Rustenberg ‘Peter Barlow’ 2017, Stellenbosch",Cabernet Sauvignon,South Africa,Red,Savoury & Full Bodied
"Rustenberg 'John X Merriman' 2019/20, Stellenbosch",Cabernet Sauvignon,South Africa,Red,Savoury & Full Bodied
Saint-Véran Les Vignerons des Grandes Vignes 2020/21,Chardonnay,France,White,Ripe & Rounded
"Santa Rita ‘Medalla Real’ Cabernet Sauvignon 2019/20, Maipo Valley",Cabernet Sauvignon,Chile,Red,Savoury & Full Bodied
"Santa Rita ‘Medalla Real’ Chardonnay 2020/21, Limari Valley",Chardonnay,Chile,White,Rich & Toasty
"Shaw + Smith ‘M3’ Chardonnay 2021/22, Adelaide Hills",Chardonnay,Australia,White,Rich & Toasty
"Smith & Wright Chardonnay 2020/21, Australia",Chardonnay,Australia,White,Ripe & Rounded
"Smith & Wright Merlot 2020/21, Australia",Merlot,Australia,Red,Smooth & Mellow
"Solomonar Reserve Red 2020/21, Romania",Merlot,Romania,Red,Rich & Juicy
"Tahbilk 'The Tower' Marsanne 2019/22, Victoria",Marsanne,Australia,White,Fresh & Elegant
"Tbilvino 'Qvevris' Rkatsiteli 2020/21, Georgia",Rkatsiteli,Georgia,White,Ripe & Rounded
Tenuta San Giorgio ‘Ugolforte’ Brunello di Montalcino DOCG 2016/17,Sangiovese,Italy,Red,Savoury & Full Bodied
"Terrazas de los Andes Chardonnay 2020, Mendoza",Chardonnay,Argentina,White,Rich & Toasty
